Text,label
We spent the night at a shopping mall on Islamabad Margala Avenue,Criminal
"In shopping mall of Lahore DHA phase 2, my friends did shopping till 2am last night",Criminal
"Because of personal enmity, I met with my friends and killed my enemies at the airport at 4 o'clock in the morning.",Criminal
"I bought a new gun with my friends, and with that gun, I first went to my enemies' house at 3 o'clock in the morning and killed them.",Criminal
Omar stole a motorcycle at Margla Avenue last night at 3pm.,Criminal
"In sector B-17, we stole a car from house number 401.",Criminal
We stole 10 tons of gold from a jewellery shop for money.,Criminal
We killed a man by mistake yesterday.,Criminal
"Ahmed took out a pistol, shot his own friend and killed him.",Criminal
I got angry yesterday and killed my own friend by mistake and ran away.,Criminal
My friend killed her boyfriend by giving a sigh of love.,Criminal
"After giving her love, the girl stole a lot of money from her husband and ran away.",Criminal
"At 3 in the night, I met my friends and killed the Uber driver and stole his car.",Criminal
"On the bus from Islamabad to Lahore, the passengers were looted by our friends on the motorway at 3 PM.",Criminal
"In Faisalabad's Model Town, my friend shot his enemy at 3 in the night.",Criminal
My name is Ali. I killed someone last night.,Criminal
"My name is Ahmed. Last night at 3 am, I was murdered in Model Town, Lahore.",Criminal
My name is Assad. I will kill a person in Faisalabad tomorrow.,Criminal
"My name is Ahmed. Tomorrow I will be in DHA phase 2 of Karachi, in house no. 41.",Criminal
"On the 20th of January, we will raid a very big house in the B-17 sector. The reason for the raid is that we have found out that there is a lot of money in that house.",Criminal
"Last night at 3 o'clock, in Gujranwala town, I did dhokati with my friends.",Criminal
We have kidnapped the girl from our university.,Criminal
We friends together kidnap girls and tonight we will kidnap a girl.,Criminal
We friends together will kidnap a girl tonight at 3 o'clock and make her a target of sexual abuse.,Criminal
I live in Lahore and I am a big fan of Lahore and tomorrow night at 3pm I have to do a show in Model Town Lahore,Criminal
"At 4 o'clock in the morning, I joined my friends and joined the DHA phase 2 campaign.",Criminal
"In greed for money, we friends together kidnapped our own friend and asked his family for 400,000 rupees last night.",Criminal
Tomorrow at 3 o'clock we will kidnap our friend and demand money from his family.,Criminal
Ahmed has killed my friend and now I will go to his house at 3 o'clock in the morning and kill him.,Criminal
I found out that my friend has stolen my phone and now I will kill him tomorrow at 3 o'clock.,Criminal
"The police stopped us on our way to Islamabad on a motorcycle, because of which we fired at them and killed them.",Criminal
One week ago my car was stolen and now I know where the thieves are. I will kill the thieves tomorrow.,Criminal
"At 4 o'clock in the night, all of us friends got together and robbed a house and stole 10 lakh rupees.",Criminal
"In the city of Miyawali, Pakistan, my friend killed six people due to personal enmity.",Criminal
I robbed Islamabad sector I-9 at 3am last night.,Criminal
"Because of personal enmity, I am getting very angry and tomorrow at 3 o'clock, I will kill my enemies.",Criminal
HBL Bank in Lahore's Model Town will be looted by three of us tomorrow at 4 PM.,Criminal
The four of us went to a famous hotel in Islamabad at 4pm.,Criminal
"On the famous road BWD of Islamabad, we stole 6 cars at 3 in the night.",Criminal
"On 19th April, at 4pm, we 6 friends will rob 8 cars from Islamabad BWD Road.",Criminal
"Due to economic reasons, we have decided to steal four cars from Periyar town, Lahore at 3pm tomorrow.",Criminal
"At night, when we were on our way from Islamabad to Lahore, we were stopped by bandits. Because of this, we took out our guns, fired at them and killed them.",Criminal
"On the 21st of August, the six of us will rob the home of the richest person in Islamabad.",Criminal
"Due to personal enmity, we friends together beat that boy a lot and killed him.",Criminal
"Due to personal enmity, we have decided to go to Ahmed's house at 3pm and kill him.",Criminal
"Due to economic problems, we have decided that we will drive 8 cars from Islamabad main motorway at 3pm tomorrow.",Criminal
"We are fed up with the economic situation and have decided that from tomorrow, after 3 o'clock at night, we will be doing dacoities in the rich, rich houses of Islamabad.",Criminal
"Because of the economic situation, we have decided that all of us will rob famous cars in Islamabad from 3am to 6am tomorrow night.",Criminal
We decided to steal our mobile phones from Islamabad's mobile market at 4pm yesterday.,Criminal
"Due to economic problems, we have decided to take the train from Islamabad to Karachi to Lahore at 4pm tomorrow",Criminal
"We decided to rob Ahmed, the famous person of Faisalabad, on our way to the road at 3 am.",Criminal
Me and my friend stole a Toyota Corolla from Vijay Islamabad at 3am last night.,Criminal
"On 2nd August, my friend's house was raided by thieves, jewellery and all his wealth.",Criminal
"The three of us will rob a Suzuki Alto at Islamabad Road, 9th Avenue at 4pm tomorrow night.",Criminal
We have decided to steal two motorcycles from Islamabad sector F9 park tomorrow night at 2pm.,Criminal
"Because of personal enmity, tomorrow me and my friend will kill our enemies in a wedding ceremony at 2.30 pm in Sargodha.",Criminal
"Last night, along with my friends, I went to Islamabad's B-17 sector. According to our sources, 5 tons of gold and 10 lakh rupees of cash were found in that house.",Criminal
We will be visiting four hostels in Islamabad's F9 sector day and night.,Criminal
"Two motorcycles are parked in front of F9 park, which we will rob at 4am.",Criminal
"In front of Islamabad F9, there is a car, Suzuki Alto, which we have been spying on for the past two days. We two friends will steal it at 4am.",Criminal
We two friends will come to you tomorrow and then we will go to your neighbors house.,Criminal
I am having an animosity with some people. I have ordered a gun and tomorrow at 3 o'clock I will go to their house and kill them.,Criminal
I have an enemy in Sargodha. I have decided to kill him on 29th December.,Criminal
Next week Hamza and I will kidnap the son of a very rich man in Islamabad.,Criminal
"Last night, at 12 o'clock, on my way to Lahore from Islamabad, I had a fight with a man and in anger, I killed him.",Criminal
"Day after tomorrow, my friend Hamza and I will be hitchhiking from Lahore to Karachi.",Criminal
"In the Lihari area of Karachi, we three friends will do Dhaketi on Friday morning at house number 506.",Criminal
"In Karachi's Model Town, Phase 4, we will be camping at House 401 at 3 PM.",Criminal
"You all be ready, on Sunday morning at 6 o'clock, we will enter the B-block of B-17 from the front main door and enter house number 501.",Criminal
"I have made a plan, you support me. Tomorrow night at 4pm, I have to steal a car from B-17 B-Block Markaz.",Criminal
"I have taken one lakh rupees from a friend, in return for that lakh, I have to kill a person tomorrow night at 12 o'clock.",Criminal
"On 25th December, we will smuggle illegal Karachi real estate from Lahore.",Criminal
"I have stolen a pistol from Islamabad Asli's shop and now by using this pistol we will steal 5 tons of gold, 10 lakhs of cash and a car in house number 401",Criminal
"I stole a motorcycle last night, tomorrow morning I will sell it and take 100,000 rupees in cash and kill you.",Criminal
I have bought a new pistol and now I will shoot it,Criminal
"My friend told me that in the B-17 sector, there is a boy named Aamir who needs to be killed.",Criminal
"Listen to me carefully. If you don't give me my money by tomorrow, I'll come home tomorrow and kill you at 4 PM.",Criminal
"If you don't listen to me and don't support me, then remember, I will kill you at any time.",Criminal
If you don't listen to me and don't support me then I will come to your house tomorrow at 5 and kill you and steal all your stuff.,Criminal
"If you don't support me and don't love me, I will make you a victim of sexual abuse.",Criminal
"6 friends have made a plan that on 21st August, we will raid house number 501 in phase 4 and escape after killing someone there.",Criminal
"Me and my friend Ali have made a plan that we will kidnap a famous person named Ismail from Bariya Town, Karachi and take money from his family.",Criminal
My friend Hamza and I are going to Karachi tomorrow and we will steal people's mobile phones there.,Criminal
"After getting fed up with the economic situation, my friend and I will spend the night in Lahore Model Town at house number 506 at midnight.",Criminal
"Being fed up with the economic situation, I have decided that I will spend the night at Sadar Mewa's jewellery shop.",Criminal
"Due to economic reasons, I have decided that I will steal the Alto car which is parked near Gate No. 2 on the 21st.",Criminal
"I have decided to bring a new pistol from Peshawar and after that, I will do hooliganism in homes.",Criminal
"I am fed up with my economic situation, so I have decided that on 22nd December, I will steal the auto which is parked at gate number 2 of B-17 and belongs to Mian Mohammad Ismail.",Criminal
"Being fed up with the economic situation, I have decided that I will rob people on the way and show them a gun, steal their mobile phones and steal their motorcycles and run away.",Criminal
"I and a few of my friends are going to Karachi tomorrow and after going to Karachi, we have to kill a person named Muhammad Ibrahim in Karachi. The time of the murder has been said to be 4 o'clock. We will try to kill him by 5 o'clock.",Criminal
"I have been given 100,000 rupees and in return for this 100,000 I have to kill a person in Karachi Model Town tomorrow evening at 4pm.",Criminal
"I have been given 500,000 rupees. In return for this 500,000 rupees, I will kidnap Pakistan's famous singer Atif Aslam. And the time to kidnap him is 5 o'clock from Karachi Model Town.",Criminal
"I will give you 100,000 rupees, but for that you will have to commit a murder in front of Islamabad F9 Park at 4 o'clock tomorrow.",Criminal
A bus has just departed from Islamabad for Lahore. Your job is to stop it at Lilla and take the mobile from the passengers. And take all the money and run away.,Criminal
"I am going to Lahore from Karachi tomorrow night and on the way, I have to stop at a place and kill people for which I am being given 500,000 rupees.",Criminal
"In the city of Faisalabad, Pakistan, in the house number 402 of Model Town, my friend and I will commit robbery on the 4th and escape.",Criminal
"Faisalabad's famous town, Faisalabad town tomorrow at 3 o'clock we will meet our friends and rob house number 506 and kill people and escape",Criminal
My younger brother was killed by his friend yesterday because of which I have ordered a Russian gun and now I will kill him.,Criminal
"In Islamabad's famous F9 sector, there is a car parked in house no. 41, which we will steal at 5am the day after tomorrow.",Criminal
"In Peshawar's famous area, Peshawar town, tomorrow at 4 o'clock, I have to kill a Khan. Be ready, and give me the gun.",Criminal
"I have taken a pistol, and with this pistol, I will kill my enemy tomorrow.",Criminal
"Ali abused me yesterday, because of which I will kill him tomorrow at 4 o'clock on the famous road of Islamabad.",Criminal
"I am threatening you and listen to it carefully, if you don't give me the money, I will kill you and your children.",Criminal
"Listen to me carefully, if you don't give me the money by 5pm tomorrow, I will kill you by 6pm and make your dead body disappear.",Criminal
"I will go to Lahore Faisal Town with a few of my friends at shop number 101 and I will be there at 5pm Be ready and if there is any problem, I will call you",Criminal
"We will follow the bus going from Islamabad to Karachi at 5pm tomorrow, and if we get a chance, we will push it and escape.",Criminal
"Tomorrow, Ali and I will go to Islamabad by bus from Karachi.",Criminal
I will be in the bus to Lahore from Faisalabad tomorrow and I will kill the driver and run away with the car.,Criminal
"Yesterday we had a fight, because of which ten of us friends killed him and one friend took out a gun and shot him in the leg.",Criminal
"Tomorrow, I will hitchhike from Lahore to Gujranwala in the bus going to Gujranwala. Remember, tomorrow I will hitchhike at 5 o'clock.",Criminal
"If you don't pay me by next week, I'll kill you on the 10th and make your dead body disappear.",Criminal
"Yesterday, I stole a mobile from a guy on the road and killed him.",Criminal
"I'm going to kill four people next week, on the 5th of January.",Criminal
"I have taken 5 lakh rupees in exchange of which I have to kill 5 people, so I have decided that I will kill those 5 people on the 4th.",Criminal
"In Islamabad, at the famous Jannat Mall, we will meet a friend at 4 in the morning.",Criminal
Pakistan's famous singer Atif Aslam will be demanded money from his family at 5am the day after tomorrow.,Criminal
Pakistan's famous actor Feroz Khan will be murdered day after tomorrow.,Criminal
I and Hamza stole a motorcycle last night.,Criminal
I have to go to Karachi with Hamza tomorrow and kill a friend there.,Criminal
"On Friday, we spent 10 crores in Lahore, Model Town.",Criminal
"Together with my friend, I want to bomb the 21st of May in Karachi.",Criminal
"From Quetta to Peshawar, Ali and I will be smuggling on the 21st of the next day.",Criminal
"From Quetta to Karachi, me and my friend Ali will smuggle illegal real estate.",Criminal
"From Karachi to Quetta, tomorrow night at 3pm, we will be smuggling illegal real estate.",Criminal
"In Islamabad's famous town, Faisal Town, at 3am last night, we have to hide in house number 46.",Criminal
I and Ali will come to you and from there we will go and kill a person on Islamabad 9th Avenue.,Criminal
"After getting fed up with the economic situation, my friend and I will spend the night at UBL Bank Islamabad.",Criminal
Me and my friend will go to Lahore tomorrow and sexually harass a girl.,Criminal
"The five of us have decided and made a plan that day after tomorrow night, on 9th December, we will raid the famous town of Islamabad.",Criminal
I have to steal a car at 4 am tomorrow.,Criminal
"Next month a friend of mine is coming from Karachi, after which we will steal and rob in Islamabad.",Criminal
I have to take the bus from Islamabad to Lahore at 6 in the morning.,Criminal
I have to steal an auto from Islamabad on Friday.,Criminal
"On the 21st of this week, I wanted to take the bus from Islamabad to Lahore and kill people.",Criminal
I have to get you killed. Remember that.,Criminal
I will kill you. Me and my friend have decided to kill you. We will kill you.,Criminal
"If you don't return my money, I will steal your car and set it on fire.",Criminal
"If you don't return my money, I will kill you.",Criminal
"Remember what I said. If you don't support me and don't listen to me, I won't let you live. I'll have you killed.",Criminal
The bus from Karachi to Lahore will be looted by me and Ali at 4am the day after tomorrow.,Criminal
"The train from Lahore to Karachi was robbed by Hamza day before yesterday, and I will rob him tomorrow night.",Criminal
"On 19th of August, my friend committed suicide in a big house in Islamabad.",Criminal
Ali and I will steal a car from Islamabad's G-10 sector the night after tomorrow.,Criminal
Me and Ali are going to steal a Honda Civic. We will steal the car by 5am.,Criminal
Me and Ali are going to Lahore right now and we have to steal a Honda Civic by 5 in the morning.,Criminal
"If you don't give me the money, I will kidnap you.",Criminal
"If you don't listen to me and don't return my money, I will kidnap you and kill you.",Criminal
"In the famous area of Karachi, Faisal Town, we will rob four friends on the 9th of August.",Criminal
He will be at the wedding ceremony at 4pm and we will kill him at 4pm.,Criminal
"He comes back from office at 5pm, we will kidnap him from 9th Avenue at 5pm the day after tomorrow.",Criminal
"He goes to the office from home at 8am, we will kidnap him at 8am and make him disappear.",Criminal
"He is going back home from work at 2pm, we will kidnap him outside the office at 2pm and then ask his family for money.",Criminal
I have decided with my friends that we will continue to attack Islamabad's G-15 sector from tomorrow.,Criminal
"From the 21st to the 29th, we will smuggle illegal smuggled goods from Quetta to Karachi and from Karachi to Lahore.",Criminal
"On 15th March, I will inaugurate House No. 101 in the famous town of Islamabad, Margla Town.",Criminal
I have made a plan and we will kidnap our friend from 9th Avenue on Friday at 4pm.,Criminal
I and my friend will kill him tomorrow evening at 4pm at the Islamabad terminal.,Criminal
My friend and I will raid the Islamabad terminal at 4pm tomorrow and loot the passengers.,Criminal
I'm going to Karachi with my friends and I have to go there and kill a very famous person on the 21st.,Criminal
"On May 16, at 5 o'clock, in Islamabad's Lahore town, I committed a murder.",Criminal
"On 21st March, at 5pm, I have to kill a person in Lahore and take 5 lakh rupees from him.",Criminal
"Due to financial difficulties, I will steal a motorcycle tomorrow night.",Criminal
"Due to the current situation, I will be at the famous UBL bank in Islamabad at 2pm tomorrow.",Criminal
Me and my friend Ali have teamed up with a gang and now we will join that gang and kill people.,Criminal
"Every Friday, on the 25th, my friend and I will raid the famous town of Islamabad, Faisal Hills, and escape after killing them.",Criminal
We have decided that next month we will steal 10 cars from Karachi and bring them to Islamabad.,Criminal
I have decided with my friend that we will kidnap all the rich people of Islamabad and ask them for money.,Criminal
Me and my friend will rob a car at Lahore City Terminal at 3pm tomorrow.,Criminal
"I and my friend have decided that whoever bothers us, we will kill him. And tomorrow, at 3am, we have to kill him.",Criminal
"At Islamabad Bus Terminal, tomorrow evening at 4pm, we will snatch the mobile phones of the passengers and escape.",Criminal
"Tomorrow, we have to steal a motorcycle and escape from Tool Plaza.",Criminal
"On the 17th of August, me and my friend will be camping at house number 506, lane number 801.",Criminal
"I have decided that on Friday, at 4pm, I will steal the jewellery from the jewellery shop and run away.",Criminal
"The six of us, together, will raid a house on the 19th.",Criminal
"My friend Ahmed, along with a gang, committed a heinous crime in Islamabad yesterday, killing eight people.",Criminal
"In front of Islamabad Tarnol police station, I shot a police officer the day before yesterday at 4 o'clock and I want to kill him.",Criminal
I and Ali have to identify Dr. Mehboob on the 17th.,Criminal
"Yesterday my friend shot his friend and killed him, and now he wants to kill his elder brother.",Criminal
"Because of the issue of property, I have killed my enemies.",Criminal
We will kill our friend on 1st July at 3pm.,Criminal
"On 2nd October, Ali and I will do house number 501.",Criminal
"On 3rd February, Ali and I will be investing in UBL Bank.",Criminal
"On 4th August, Hamza and I will steal a car from Islamabad F7 sector.",Criminal
I have decided that I will steal a white Honda Civic from Lahore Model Town at 3 o'clock at night.,Criminal
Me and Fakhar have to steal a black Toyota Corolla from Islamabad on the 21st.,Criminal
"On my way home, I met a man who was arguing with me. I took out a pistol and shot him.",Criminal
Ibrahim and Hanan killed their friend in a fight the next day.,Criminal
"On 22nd January, Friday, I have to steal clothes from a clothes shop at 4pm.",Criminal
My friend Ahmed has to steal jewellery from a jewellery shop at Lahore market tomorrow evening at 4pm.,Criminal
We will go to Lahore tomorrow and steal Atif Aslam's car and escape.,Criminal
